项目名称,url,公告类型,招标方式,地区,时间
某单位煤炭采购项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220328181032-d438b0e8-0966-4c55-888b-f727380986b3-web-某单位煤炭采购项目询比采购公告.pdf,中标结果公示,其他方式,青海省海西蒙古族藏族自治州德令哈市,2022-03-28
所史馆布展装修工程, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220328173643-910b22b0-fc13-4cfb-8ab3-9ca36f7d8f8a-web-所史馆布展装修工程询比采购公告.pdf,招标公告,其他方式,青海省西宁市城西区,2022-03-28
购置疫情防控智能消毒设备项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220328161333-19f69c67-2ad4-4721-bad7-7c9cc48784f1-web-购置疫情防控智能消毒设备项目磋商公告.pdf,招标公告,竞争性磋商,青海省西宁市湟中县,2022-03-28
海东公路总段2022年普通国省干线桥涵维修工程监理, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220325175653-c422715a-3f05-4f54-89b6-499cb8eb4e9b-web-竞争性磋商公告.pdf,招标公告,竞争性磋商,青海省海东市平安县,2022-03-25
海东公路总段2023年危旧桥梁改造项目设计, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220325163059-ddcf8651-c06c-42e5-80f1-fd74c033e5a1-web-文字文稿1.pdf,招标公告,竞争性磋商,青海省海东市平安县,2022-03-25
某单位煤炭采购项目中标候选人公示（变更）, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220323221233-cb532837-50f5-4eba-8143-7c49ae040dd0-web-某单位煤炭采购项目中标候选人公示变更.pdf,中标候选人公示,其他方式,青海省海西蒙古族藏族自治州德令哈市,2022-03-23
格尔木处理中心水平胶带机设备采购项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220323150122-803f24eb-901e-4b81-a3e1-563bc15004f9-web-格尔木处理中心水平胶带机设备采购项目废标公告第二次.pdf,流标公示,-,青海省海西蒙古族藏族自治州格尔木市,2022-03-23
黄南州中等职业技术学校食堂外包项目（包二）, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220323093954-5d0f5219-3933-4468-a19e-8dc2c7212706-web-成标结果公示.pdf,中标结果公示,其他方式,青海省黄南藏族自治州同仁县,2022-03-23
黄南州中等职业技术学校食堂外包项目（包一）, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220323084530-46cd6418-c097-4dc6-8b35-bc70f1880cd2-web-废标结果公告.pdf,废标公示,其他方式,青海省黄南藏族自治州同仁县,2022-03-23
某单位煤炭采购项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220316191335-4c513ccf-16d0-4857-9490-bc20aa099704-web-某单位煤炭采购项目中标候选人公示.pdf,中标候选人公示,其他方式,青海省海西蒙古族藏族自治州德令哈市,2022-03-16
格尔木处理中心水平胶带机设备采购项目第二次, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220316175500-ad420c62-27fe-4d9d-88e7-e689b47014ce-web-格尔木处理中心水平胶带机设备采购项目询比采购公告第二次.pdf,招标公告,其他方式,青海省海西蒙古族藏族自治州格尔木市,2022-03-16
格尔木处理中心水平胶带机设备采购项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220315190938-4213ca6d-b5a2-4eff-95df-cbfa8fcbaf02-web-格尔木处理中心水平胶带机设备采购项目废标公告.pdf,废标公示,-,青海省海西蒙古族藏族自治州格尔木市,2022-03-15
黄南州中等职业技术学校食堂外包项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220315113501-4d2397af-7902-4403-8528-cb7e9bc8e027-web-黄南州中等职业技术学校食堂外包项目.pdf,招标公告,其他方式,青海省黄南藏族自治州同仁县,2022-03-15
格尔木处理中心水平胶带机设备采购项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220311145338-cef94d4e-0d1b-40f8-866f-4b0bea850d11-web-格尔木处理中心水平胶带机设备采购项目询比采购公告.pdf,招标公告,其他方式,青海省海西蒙古族藏族自治州格尔木市,2022-03-11
某单位煤炭采购项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220310174441-985678d4-2b7d-43a3-bd24-4f740b3f9c22-web-某单位煤炭采购项目询比采购公告.pdf,招标公告,其他方式,青海省海西蒙古族藏族自治州德令哈市,2022-03-10
大通某单位2022年度2月份取暖煤招标项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220303155356-6af8026c-f0a6-4706-a79b-23b4e99865c1-web-中标结果公告.pdf,中标结果公示,竞争性谈判,青海省西宁市大通回族土族自治县,2022-03-03
青海省湟源县国家农村产业融合发展示范园建设项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220301123252-005a8be5-331d-42b8-9765-022b8a48c2b4-web-青海省湟源县国家农村产业融合发展示范园建设项目资格预审公告.pdf,资格预审公告,公开招标,青海省西宁市湟源县,2022-03-01
大通某单位2022年度2月份取暖煤招标项目, https://obs-qinghaixiehui.obs.cn-southwest-2.myhuaweicloud.com/signSystem/qhxiehui-20220224102408-868c7560-bdb7-4b76-9ae8-7dfd9ecdc1bc-web-006招标公告.pdf,招标公告,竞争性谈判,青海省西宁市大通回族土族自治县,2022-02-24
